"gt50" "edu" "age" "gender" "mar"
"1" 0 16 50.6417306468356 1 1
"2" 0 12 38.3490366896149 1 0
"3" 0 11 53.882513364777 1 1
"4" 0 16 28.812729537487 0 1
"5" 0 18 37.6836925894022 0 1
"6" 0 9 49.957443081541 0 1
"7" 1 12 52.2535101745743 1 1
"8" 1 18 31.4955569903832 0 0
"9" 1 16 42.9110907383729 1 1
"10" 1 13 37.8956841684412 1 1
"11" 1 16 30.3879155262839 1 1
"12" 0 16 23.0853311617393 0 0
"13" 0 14 32.5332514583133 1 0
"14" 1 14 40.4217832747381 1 1
"15" 0 7 34.1105055441149 1 1
"16" 0 12 25.8382235558238 1 0
"17" 0 12 32.0438605425879 1 0
"18" 0 11 38.9504576108884 1 1
"19" 1 18 43.932622667402 0 0
"20" 1 21 40.1512353753205 1 1
"21" 0 12 54.7165866517462 0 0
"22" 0 9 35.9796961422544 1 1
"23" 0 11 43.9894056785852 1 1
"24" 0 12 59.7658052640036 0 0
"25" 1 16 56.1868206355721 1 1
"26" 0 12 19.3081803857349 1 0
"27" 1 13 54.7490342524834 1 1
"28" 0 12 39.0450556457508 1 0
"29" 0 12 49.0489226472564 1 1
"30" 0 14 23.7151969955303 1 0
"31" 0 13 20.1540692809504 1 0
"32" 0 16 45.1885965140536 1 0
"33" 0 13 30.4661081254017 1 1
"34" 0 13 22.6025352512952 1 1
"35" 0 11 48.3159637348726 1 0
"36" 0 13 21.4088833809365 1 0
"37" 0 12 19.9805563415866 0 1
"38" 1 13 31.8780567389913 1 1
"39" 0 14 48.3752317801118 1 1
"40" 0 9 31.4030680304859 1 1
"41" 0 16 53.0979992379434 1 1
"42" 0 16 24.0877935553435 1 1
"43" 0 12 49.0979612332303 0 0
"44" 0 12 25.9322228501551 1 0
"45" 1 16 57.3212500729132 1 1
"46" 0 12 53.966628856957 1 1
"47" 0 18 44.8272149497643 0 0
"48" 0 14 41.5965129504912 1 1
"49" 0 14 29.2043022438884 1 0
"50" 0 13 25.5818467531353 0 1
"51" 0 12 18.846528616501 0 0
"52" 1 20 47.3947243012954 0 1
"53" 1 16 50.073387445882 1 0
"54" 0 12 47.8434773129411 1 0
"55" 1 13 43.1625597600359 1 1
"56" 0 5 46.8143948242068 1 1
"57" 0 14 35.2995334684383 1 1
"58" 0 12 41.7118302278686 1 1
"59" 0 12 30.7471363283694 1 1
"60" 0 16 30.519327026559 1 1
"61" 0 7 32.5768444531132 1 1
"62" 0 12 48.3863905966282 1 1
"63" 1 21 42.4020585191902 1 1
"64" 0 13 29.1247384790331 1 0
"65" 0 12 36.3374953083694 1 1
"66" 0 13 28.3327436475083 0 0
"67" 1 12 53.1052551183384 0 1
"68" 1 13 49.8570392238908 1 1
"69" 0 13 25.1337713594548 1 0
"70" 0 13 19.5679954735097 1 0
"71" 0 16 31.0792462150566 0 0
"72" 1 16 29.7069546915591 1 1
"73" 0 13 23.6970742125995 1 0
"74" 0 13 79.6394276814535 1 1
"75" 0 12 27.1065218939912 1 0
"76" 0 14 40.6729347149376 1 1
"77" 0 10 67.9911337678786 1 1
"78" 0 11 18.6805452010594 0 0
"79" 0 7 31.6835358787794 1 1
"80" 0 12 18.5174011315685 1 0
"81" 0 16 52.5718351542018 1 1
"82" 0 12 46.9643003593665 0 1
"83" 0 12 59.677024055738 1 1
"84" 1 12 44.6769801774062 0 0
"85" 0 12 53.6997314030305 0 0
"86" 1 12 49.2584891805891 1 1
"87" 0 18 33.1172187826596 1 1
"88" 0 9 30.3454173882492 1 0
"89" 1 21 43.8789719503839 0 0
"90" 0 14 57.394085370237 1 1
"91" 0 13 37.058462346904 0 0
"92" 0 13 28.0968434128445 0 0
"93" 0 12 30.5281567324419 0 1
"94" 1 16 34.132655122783 1 1
"95" 0 13 29.848861270817 1 0
"96" 1 21 48.1871656137519 1 1
"97" 1 13 37.9366836855188 1 1
"98" 0 14 48.2185820897575 0 0
"99" 0 12 32.0549055926967 1 0
"100" 1 18 76.1850220647175 1 1
"101" 1 16 44.7965596646536 1 1
"102" 0 18 47.8064827236813 0 0
"103" 0 13 20.50710909185 0 0
"104" 0 12 29.3588207389694 1 0
"105" 1 12 32.5358431772329 1 1
"106" 0 10 17.4240395415109 0 0
"107" 0 11 30.4480905139353 1 0
"108" 0 12 31.7285694736056 0 0
"109" 0 12 42.658446994843 1 1
"110" 0 16 24.4254302920308 1 0
"111" 1 20 38.3293359728996 1 1
"112" 1 12 56.0071603015531 1 1
"113" 0 13 28.539721126901 0 1
"114" 0 12 36.1197909300681 0 0
"115" 0 9 53.7594219632447 1 1
"116" 0 13 56.9607189809904 1 1
"117" 1 14 49.5469180583023 1 1
"118" 0 13 55.8828184911981 1 1
"119" 0 12 22.9614725522697 1 0
"120" 0 13 21.1609143745154 0 0
"121" 0 16 40.0456990697421 1 1
"122" 0 16 30.1180270235054 1 0
"123" 1 16 29.0863035367802 1 1
"124" 0 13 19.534327438334 1 0
"125" 1 16 47.0247713790741 0 1
"126" 0 13 20.8291122799274 0 0
"127" 1 14 31.2665574147832 1 1
"128" 0 12 35.6009898264892 1 1
"129" 0 13 39.6333027237561 1 0
"130" 0 14 28.3572635089513 0 0
"131" 0 12 24.6034283975605 0 0
"132" 0 12 38.3200236444827 1 1
"133" 0 16 37.982560568722 1 1
"134" 0 14 46.7440315261483 0 0
"135" 1 18 38.1754807666875 1 1
"136" 0 12 43.6051499282476 1 1
"137" 0 14 27.8307124224957 0 1
"138" 0 13 20.404981370084 1 0
"139" 1 13 49.9589226767421 1 1
"140" 0 12 61.2222922944929 1 1
"141" 0 13 27.7917491483968 0 0
"142" 0 13 19.2669228417799 1 0
"143" 1 14 45.8972164939623 0 0
"144" 0 13 70.3457198725082 1 0
"145" 0 12 31.8104787878692 0 0
"146" 0 13 22.4893487503286 1 1
"147" 0 12 36.4775675465353 0 0
"148" 0 11 64.2541413789149 1 1
"149" 0 13 43.7323517166078 0 0
"150" 0 13 47.5821075907443 0 0
"151" 0 12 34.8200033486355 0 0
"152" 0 16 33.7462605906185 0 0
"153" 0 12 21.4780729040504 1 0
"154" 1 12 52.7516929814592 1 0
"155" 0 12 48.0562249829527 1 1
"156" 0 16 23.854786996264 1 0
"157" 0 13 71.6641772079747 1 0
"158" 0 12 29.7247804373037 1 0
"159" 0 16 42.1807185879443 1 0
